Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
OPEN,Opendoor Technologies Inc.,,,+0.3335,+10.36%,80.116M,211.012M,2.615B,--,+59.41%,
NIO,NIO Inc.,,,+0.45,+8.97%,69.479M,52.234M,12.275B,--,+27.07%,
NVDA,NVIDIA Corporation,,,+0.55,+0.31%,50.889M,180.756M,4.291T,56.76,+41.75%,
PLTR,Palantir Technologies Inc.,,,+0.35,+0.22%,42.905M,76.305M,370.939B,521.20,+388.75%,
INTC,Intel Corporation,,,-0.44,-1.87%,42.069M,100.132M,101.109B,--,+17.11%,
WMT,Walmart Inc.,,,-4.47,-4.36%,25.26M,15.445M,782.879B,41.92,+35.71%,
WULF,TeraWulf Inc.,,,-0.12,-1.35%,22.747M,54.473M,3.59B,--,+92.93%,
TSLA,"Tesla, Inc.",,,-0.52,-0.16%,21.103M,101.072M,1.043T,192.49,+53.75%,
NU,Nu Holdings Ltd.,,,+0.10,+0.76%,19.304M,64.188M,66.317B,29.20,-4.15%,
SOFI,"SoFi Technologies, Inc.",,,+0.69,+3.06%,18.269M,71.011M,27.793B,46.42,+213.21%,
LCID,"Lucid Group, Inc.",,,+0.0099,+0.47%,16.274M,139.736M,6.452B,--,-45.71%,
AMD,"Advanced Micro Devices, Inc.",,,-0.34,-0.21%,16.197M,56.108M,267.541B,98.72,+8.90%,
COTY,Coty Inc.,,,-1.0210,-21.01%,15.746M,8.147M,3.349B,--,-51.50%,
HOOD,"Robinhood Markets, Inc.",,,+2.51,+2.39%,15.596M,44.547M,95.848B,54.75,+429.61%,
F,Ford Motor Company,,,-0.18,-1.57%,14.7M,83.223M,45.009B,14.50,+5.22%,
SOUN,"SoundHound AI, Inc.",,,-0.21,-1.69%,14.551M,43.159M,4.986B,--,+152.33%,
XPEV,XPeng Inc.,,,+2.42,+11.88%,14.547M,6.838M,21.957B,--,+194.79%,
AAL,American Airlines Group Inc.,,,-0.27,-2.07%,14.053M,61.653M,8.271B,14.92,+26.23%,
AMZN,"Amazon.com, Inc.",,,-1.97,-0.88%,11.519M,42.372M,2.366T,33.82,+27.07%,
BBD,Banco Bradesco S.A.,,,+0.0100,+0.35%,11.271M,37.719M,28.616B,8.50,+2.86%,
RIVN,"Rivian Automotive, Inc.",,,-0.12,-1.04%,11.216M,32.263M,14.494B,--,-5.78%,
BMNR,"Bitmine Immersion Technologies, Inc.",,,-1.43,-2.75%,11.611M,32.819M,8.784B,--,+571.74%,
YMM,Full Truck Alliance Co. Ltd.,,,+0.52,+4.77%,9.957M,9.033M,12.064B,23.07,+44.87%,
T,AT&T Inc.,,,+0.19,+0.65%,9.972M,31.423M,210.722B,16.84,+50.08%,
HIMS,"Hims & Hers Health, Inc.",,,+0.93,+2.16%,9.891M,39.093M,10.016B,56.09,+163.55%,
